SYMBOL,title
ENERGYDEV,ENERGYDEV: Energy Development Company Limited
ENGINERSIN,ENGINERSIN: Engineers India Limited
ENIL,ENIL: Entertainment Network (India) Limited
ENTERO,ENTERO: Entero Healthcare Solutions Limited
EPACK,EPACK: EPACK Durable Limited
EPIGRAL,EPIGRAL: Epigral Limited
EPL,EPL: EPL Limited
EQUIPPP,EQUIPPP: Equippp Social Impact Technologies Limited
EQUITASBNK,EQUITASBNK: Equitas Small Finance Bank Limited
ERIS,ERIS: Eris Lifesciences Limited
EROSMEDIA,EROSMEDIA: Eros International Media Limited
ESABINDIA,ESABINDIA: Esab India Limited
ESAFSFB,ESAFSFB: ESAF Small Finance Bank Limited
ESCORTS,ESCORTS: Escorts Kubota Limited
ESSARSHPNG,ESSARSHPNG: Essar Shipping Limited
ESSENTIA,ESSENTIA: Integra Essentia Limited
ESTER,ESTER: Ester Industries Limited
ETHOSLTD,ETHOSLTD: Ethos Limited
EUROTEXIND,EUROTEXIND: Eurotex Industries and Exports Limited
EVEREADY,EVEREADY: Eveready Industries India Limited
EVERESTIND,EVERESTIND: Everest Industries Limited
EXCEL,EXCEL: Excel Realty N Infra Limited
EXCELINDUS,EXCELINDUS: Excel Industries Limited
EXICOM,EXICOM: Exicom Tele-Systems Limited
EXIDEIND,EXIDEIND: Exide Industries Limited
EXPLEOSOL,EXPLEOSOL: Expleo Solutions Limited
EXXARO,EXXARO: Exxaro Tiles Limited
FACT,FACT: Fertilizers and Chemicals Travancore Limited
FAIRCHEMOR,FAIRCHEMOR: Fairchem Organics Limited
FAZE3Q,FAZE3Q: Faze Three Limited
FCL,FCL: Fineotex Chemical Limited
FCSSOFT,FCSSOFT: FCS Software Solutions Limited
FDC,FDC: FDC Limited
FEDERALBNK,FEDERALBNK: The Federal Bank  Limited
FEDFINA,FEDFINA: Fedbank Financial Services Limited
FEL,FEL: Future Enterprises Limited
FELDVR,FELDVR: Future Enterprises Limited
FIBERWEB,FIBERWEB: Fiberweb (India) Limited
FIEMIND,FIEMIND: Fiem Industries Limited
FILATEX,FILATEX: Filatex India Limited
FILATFASH,FILATFASH: Filatex Fashions Limited
FINCABLES,FINCABLES: Finolex Cables Limited
FINEORG,FINEORG: Fine Organic Industries Limited
FINOPB,FINOPB: Fino Payments Bank Limited
FINPIPE,FINPIPE: Finolex Industries Limited
FIVESTAR,FIVESTAR: Five-Star Business Finance Limited
FLAIR,FLAIR: Flair Writing Industries Limited
FLEXITUFF,FLEXITUFF: Flexituff Ventures International Limited
FLFL,FLFL: Future Lifestyle Fashions Limited
FLUOROCHEM,FLUOROCHEM: Gujarat Fluorochemicals Limited
FMGOETZE,FMGOETZE: Federal-Mogul Goetze (India) Limited.
FMNL,FMNL: Future Market Networks Limited
FOCUS,FOCUS: Focus Lighting and Fixtures Limited
FOODSIN,FOODSIN: Foods & Inns Limited
FORCEMOT,FORCEMOT: FORCE MOTORS LTD
FORTIS,FORTIS: Fortis Healthcare Limited
FOSECOIND,FOSECOIND: Foseco India Limited
FSL,FSL: Firstsource Solutions Limited
FUSION,FUSION: Fusion Micro Finance Limited
GABRIEL,GABRIEL: Gabriel India Limited
GACMDVR-RE,GACMDVR-RE: GACM Tech Ltd DVR-RE
GAEL,GAEL: Gujarat Ambuja Exports Limited
GAIL,GAIL: GAIL (India) Limited
GALAXYSURF,GALAXYSURF: Galaxy Surfactants Limited
GALLANTT,GALLANTT: Gallantt Ispat Limited
GANDHAR,GANDHAR: Gandhar Oil Refinery (India) Limited
GANDHITUBE,GANDHITUBE: Gandhi Special Tubes Limited
GANECOS,GANECOS: Ganesha Ecosphere Limited
GANESHBE,GANESHBE: Ganesh Benzoplast Limited
GANESHHOUC,GANESHHOUC: Ganesh Housing Corporation Limited
GANGAFORGE,GANGAFORGE: Ganga Forging Limited
GANGESSECU,GANGESSECU: Ganges Securities Limited
GARFIBRES,GARFIBRES: Garware Technical Fibres Limited
GATECH,GATECH: GACM Technologies Limited
GATECH-RE,GATECH-RE: GACM Technologies Ltd-RE
GATECHDVR,GATECHDVR: GACM Technologies Limited
GATEWAY,GATEWAY: Gateway Distriparks Limited
GEECEE,GEECEE: GeeCee Ventures Limited
GEEKAYWIRE,GEEKAYWIRE: Geekay Wires Limited
GENCON,GENCON: Generic Engineering Construction and Projects Limited
GENESYS,GENESYS: Genesys International Corporation Limited
GENSOL,GENSOL: Gensol Engineering Limited
GENUSPAPER,GENUSPAPER: Genus Paper & Boards Limited
GENUSPOWER,GENUSPOWER: Genus Power Infrastructures Limited
GEOJITFSL,GEOJITFSL: Geojit Financial Services Limited
GEPIL,GEPIL: GE Power India Limited
GESHIP,GESHIP: The Great Eastern Shipping Company Limited
GET&D,GET&D: GE T&D India Limited
GFLLIMITED,GFLLIMITED: GFL Limited
GHCL,GHCL: GHCL Limited
GHCLTEXTIL,GHCLTEXTIL: GHCL Textiles Limited
GICHSGFIN,GICHSGFIN: GIC Housing Finance Limited
GICRE,GICRE: General Insurance Corporation of India
GILLANDERS,GILLANDERS: Gillanders Arbuthnot & Company Limited
GILLETTE,GILLETTE: Gillette India Limited
GINNIFILA,GINNIFILA: Ginni Filaments Limited
GIPCL,GIPCL: Gujarat Industries Power Company Limited
GKWLIMITED,GKWLIMITED: GKW Limited
GLAND,GLAND: Gland Pharma Limited
GLAXO,GLAXO: GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,GLENMARK: Glenmark Pharmaceuticals Limited
GLFL,GLFL: Gujarat Lease Financing Limited
GLOBAL,GLOBAL: Global Education Limited
GLOBALVECT,GLOBALVECT: Global Vectra Helicorp Limited
GLOBE,GLOBE: Globe Textiles (India) Limited
GLOBUSSPR,GLOBUSSPR: Globus Spirits Limited
GLOSTERLTD,GLOSTERLTD: Gloster Limited
GLS,GLS: Glenmark Life Sciences Limited
GMBREW,GMBREW: GM Breweries Limited
GMDCLTD,GMDCLTD: Gujarat Mineral Development Corporation Limited
GMMPFAUDLR,GMMPFAUDLR: GMM Pfaudler Limited
GMRINFRA,GMRINFRA: GMR Airports Infrastructure Limited
GMRP&UI,GMRP&UI: GMR Power and Urban Infra Limited
GNA,GNA: GNA Axles Limited
GNFC,GNFC: Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOACARBON,GOACARBON: Goa Carbon Limited
GOCLCORP,GOCLCORP: GOCL Corporation Limited
GOCOLORS,GOCOLORS: Go Fashion (India) Limited
GODFRYPHLP,GODFRYPHLP: Godfrey Phillips India Limited
GODHA,GODHA: Godha Cabcon & Insulation Limited
GODIGIT,GODIGIT: Go Digit General Insurance Limited
GODREJAGRO,GODREJAGRO: Godrej Agrovet Limited
GODREJCP,GODREJCP: Godrej Consumer Products Limited
GODREJIND,GODREJIND: Godrej Industries Limited
GODREJPROP,GODREJPROP: Godrej Properties Limited
GOKEX,GOKEX: Gokaldas Exports Limited
GOKUL,GOKUL: Gokul Refoils and Solvent Limited
GOKULAGRO,GOKULAGRO: Gokul Agro Resources Limited
GOLDENTOBC,GOLDENTOBC: Golden Tobacco Limited
GOLDIAM,GOLDIAM: Goldiam International Limited
GOLDTECH,GOLDTECH: AION-TECH SOLUTIONS LIMITED
GOODLUCK,GOODLUCK: Goodluck India Limited
GOPAL,GOPAL: Gopal Snacks Limited
GOYALALUM,GOYALALUM: Goyal Aluminiums Limited
GPIL,GPIL: Godawari Power And Ispat limited
GPPL,GPPL: Gujarat Pipavav Port Limited
GPTHEALTH,GPTHEALTH: GPT Healthcare Limited
GPTINFRA,GPTINFRA: GPT Infraprojects Limited
GRANULES,GRANULES: Granules India Limited
GRAPHITE,GRAPHITE: Graphite India Limited
GRASIM,GRASIM: Grasim Industries Limited
GRAVITA,GRAVITA: Gravita India Limited
GREAVESCOT,GREAVESCOT: Greaves Cotton Limited
GREENLAM,GREENLAM: Greenlam Industries Limited
GREENPANEL,GREENPANEL: Greenpanel Industries Limited
GREENPLY,GREENPLY: Greenply Industries Limited
GREENPOWER,GREENPOWER: Orient Green Power Company Limited
GRINDWELL,GRINDWELL: Grindwell Norton Limited
GRINFRA,GRINFRA: G R Infraprojects Limited
GRMOVER,GRMOVER: GRM Overseas Limited
GROBTEA,GROBTEA: The Grob Tea Company Limited
GRPLTD,GRPLTD: GRP Limited
GRSE,GRSE: Garden Reach Shipbuilders & Engineers Limited
GRWRHITECH,GRWRHITECH: Garware Hi-Tech Films Limited
GSFC,GSFC: Gujarat State Fertilizers & Chemicals Limited
GSLSU,GSLSU: Global Surfaces Limited
GSPL,GSPL: Gujarat State Petronet Limited
GSS,GSS: GSS Infotech Limited
GTECJAINX,GTECJAINX: G-TEC JAINX EDUCATION LIMITED
GTL,GTL: GTL Limited
GTLINFRA,GTLINFRA: GTL Infrastructure Limited
GTPL,GTPL: GTPL Hathway Limited
GUFICBIO,GUFICBIO: Gufic Biosciences Limited
GUJALKALI,GUJALKALI: Gujarat Alkalies and Chemicals Limited
GUJAPOLLO,GUJAPOLLO: Gujarat Apollo Industries Limited
GUJGASLTD,GUJGASLTD: Gujarat Gas Limited
GUJRAFFIA,GUJRAFFIA: Gujarat Raffia Industries Limited
GULFOILLUB,GULFOILLUB: Gulf Oil Lubricants India Limited
GULFPETRO,GULFPETRO: GP Petroleums Limited
GULPOLY,GULPOLY: Gulshan Polyols Limited
GVKPIL,GVKPIL: GVK Power & Infrastructure Limited
GVPTECH,GVPTECH: GVP Infotech Limited
HAL,HAL: Hindustan Aeronautics Limited
HAPPSTMNDS,HAPPSTMNDS: Happiest Minds Technologies Limited
HAPPYFORGE,HAPPYFORGE: Happy Forgings Limited
HARDWYN,HARDWYN: Hardwyn India Limited
HARIOMPIPE,HARIOMPIPE: Hariom Pipe Industries Limited
HARRMALAYA,HARRMALAYA: Harrisons  Malayalam Limited
HARSHA,HARSHA: Harsha Engineers International Limited
HATHWAY,HATHWAY: Hathway Cable & Datacom Limited
HATSUN,HATSUN: Hatsun Agro Product Limited
HAVELLS,HAVELLS: Havells India Limited
HAVISHA,HAVISHA: Sri Havisha Hospitality and Infrastructure Limited
HBLPOWER,HBLPOWER: HBL Power Systems Limited
HBSL,HBSL: HB Stockholdings Limited
HCC,HCC: Hindustan Construction Company Limited
HCG,HCG: Healthcare Global Enterprises Limited
HCL-INSYS,HCL-INSYS: HCL Infosystems Limited
HCLTECH,HCLTECH: HCL Technologies Limited
HDFCAMC,HDFCAMC: HDFC Asset Management Company Limited
HDFCBANK,HDFCBANK: HDFC Bank Limited
HDFCLIFE,HDFCLIFE: HDFC Life Insurance Company Limited
HDIL,HDIL: Housing Development and Infrastructure Limited
HEADSUP,HEADSUP: Heads UP Ventures Limited
HECPROJECT,HECPROJECT: HEC Infra Projects Limited
HEG,HEG: HEG Limited
HEIDELBERG,HEIDELBERG: HeidelbergCement India Limited
HEMIPROP,HEMIPROP: Hemisphere Properties India Limited
HERANBA,HERANBA: Heranba Industries Limited
HERCULES,HERCULES: Hercules Hoists Limited
HERITGFOOD,HERITGFOOD: Heritage Foods Limited
HEROMOTOCO,HEROMOTOCO: Hero MotoCorp Limited
HESTERBIO,HESTERBIO: Hester Biosciences Limited
HEUBACHIND,HEUBACHIND: Heubach Colorants India Limited
HEXATRADEX,HEXATRADEX: Hexa Tradex Limited
HFCL,HFCL: HFCL Limited
HGINFRA,HGINFRA: H.G. Infra Engineering Limited
HGS,HGS: Hinduja Global Solutions Limited
HIKAL,HIKAL: Hikal Limited
HIL,HIL: HIL Limited
HILTON,HILTON: Hilton Metal Forging Limited
HIMATSEIDE,HIMATSEIDE: Himatsingka Seide Limited
HINDALCO,HINDALCO: Hindalco Industries Limited
HINDCOMPOS,HINDCOMPOS: Hindustan Composites Limited
HINDCON,HINDCON: Hindcon Chemicals Limited
HINDCOPPER,HINDCOPPER: Hindustan Copper Limited
HINDMOTORS,HINDMOTORS: Hindustan Motors Limited
HINDOILEXP,HINDOILEXP: Hindustan Oil Exploration Company Limited
HINDPETRO,HINDPETRO: Hindustan Petroleum Corporation Limited
HINDUNILVR,HINDUNILVR: Hindustan Unilever Limited
HINDWAREAP,HINDWAREAP: Hindware Home Innovation Limited
HINDZINC,HINDZINC: Hindustan Zinc Limited
HIRECT,HIRECT: Hind Rectifiers Limited
HISARMETAL,HISARMETAL: Hisar Metal Industries Limited
HITECH,HITECH: Hi-Tech Pipes Limited
HITECHCORP,HITECHCORP: Hitech Corporation Limited
HITECHGEAR,HITECHGEAR: The Hi-Tech Gears Limited
HLEGLAS,HLEGLAS: HLE Glascoat Limited
HLVLTD,HLVLTD: HLV LIMITED
HMAAGRO,HMAAGRO: HMA Agro Industries Limited
HMT,HMT: HMT Limited
HMVL,HMVL: Hindustan Media Ventures Limited
HNDFDS,HNDFDS: Hindustan Foods Limited
HOMEFIRST,HOMEFIRST: Home First Finance Company India Limited
HONASA,HONASA: Honasa Consumer Limited
HONAUT,HONAUT: Honeywell Automation India Limited
HONDAPOWER,HONDAPOWER: Honda India Power Products Limited
HOVS,HOVS: HOV Services Limited
HPAL,HPAL: HP Adhesives Limited
HPIL,HPIL: Hindprakash Industries Limited
HPL,HPL: HPL Electric & Power Limited
HSCL,HSCL: Himadri Speciality Chemical Limited
HTMEDIA,HTMEDIA: HT Media Limited
HUBTOWN,HUBTOWN: Hubtown Limited
HUDCO,HUDCO: Housing & Urban Development Corporation Limited
HUHTAMAKI,HUHTAMAKI: Huhtamaki India Limited
HYBRIDFIN,HYBRIDFIN: Hybrid Financial Services Limited
ICDSLTD,ICDSLTD: ICDS Limited
ICEMAKE,ICEMAKE: Ice Make Refrigeration Limited
ICICIBANK,ICICIBANK: ICICI Bank Limited
ICICIGI,ICICIGI: ICICI Lombard General Insurance Company Limited
ICICIPRULI,ICICIPRULI: ICICI Prudential Life Insurance Company Limited
ICIL,ICIL: Indo Count Industries Limited
ICRA,ICRA: ICRA Limited
IDBI,IDBI: IDBI Bank Limited
IDEA,IDEA: Vodafone Idea Limited
IDEAFORGE,IDEAFORGE: Ideaforge Technology Limited
IDFC,IDFC: IDFC Limited
IDFCFIRSTB,IDFCFIRSTB: IDFC First Bank Limited
IEL,IEL: Indiabulls Enterprises Limited
IEX,IEX: Indian Energy Exchange Limited
IFBAGRO,IFBAGRO: IFB Agro Industries Limited
IFBIND,IFBIND: IFB Industries Limited
IFCI,IFCI: IFCI Limited
IFGLEXPOR,IFGLEXPOR: IFGL Refractories Limited
IGARASHI,IGARASHI: Igarashi Motors India Limited
IGL,IGL: Indraprastha Gas Limited
IGPL,IGPL: IG Petrochemicals Limited
IIFL,IIFL: IIFL Finance Limited
IIFLSEC,IIFLSEC: IIFL Securities Limited
IITL,IITL: Industrial Investment Trust Limited
IKIO,IKIO: IKIO Lighting Limited
IL&FSENGG,IL&FSENGG: IL&FS Engineering and Construction Company Limited
IL&FSTRANS,IL&FSTRANS: IL&FS Transportation Networks Limited
IMAGICAA,IMAGICAA: Imagicaaworld Entertainment Limited
IMFA,IMFA: Indian Metals & Ferro Alloys Limited
IMPAL,IMPAL: India Motor Parts and Accessories Limited
IMPEXFERRO,IMPEXFERRO: Impex Ferro Tech Limited
INCREDIBLE,INCREDIBLE: INCREDIBLE INDUSTRIES LIMITED
INDBANK,INDBANK: Indbank Merchant Banking Services Limited
INDGN,INDGN: Indegene Limited
INDHOTEL,INDHOTEL: The Indian Hotels Company Limited
INDIACEM,INDIACEM: The India Cements Limited
INDIAGLYCO,INDIAGLYCO: India Glycols Limited
INDIAMART,INDIAMART: Indiamart Intermesh Limited
INDIANB,INDIANB: Indian Bank
INDIANCARD,INDIANCARD: Indian Card Clothing Company Limited
INDIANHUME,INDIANHUME: Indian Hume Pipe Company Limited
INDIASHLTR,INDIASHLTR: India Shelter Finance Corporation Limited
INDIGO,INDIGO: InterGlobe Aviation Limited
INDIGOPNTS,INDIGOPNTS: Indigo Paints Limited
INDNIPPON,INDNIPPON: India Nippon Electricals Limited
INDOAMIN,INDOAMIN: Indo Amines Limited
INDOBORAX,INDOBORAX: Indo Borax & Chemicals Limited
INDOCO,INDOCO: Indoco Remedies Limited
INDORAMA,INDORAMA: Indo Rama Synthetics (India) Limited
INDOSTAR,INDOSTAR: IndoStar Capital Finance Limited
INDOTECH,INDOTECH: Indo Tech Transformers Limited
INDOTHAI,INDOTHAI: Indo Thai Securities Limited
INDOWIND,INDOWIND: Indowind Energy Limited
INDRAMEDCO,INDRAMEDCO: Indraprastha Medical Corporation Limited
INDSWFTLAB,INDSWFTLAB: Ind-Swift Laboratories Limited
INDSWFTLTD,INDSWFTLTD: Ind-Swift Limited
INDTERRAIN,INDTERRAIN: Indian Terrain Fashions Limited
INDUSINDBK,INDUSINDBK: IndusInd Bank Limited
INDUSTOWER,INDUSTOWER: Indus Towers Limited
INFIBEAM,INFIBEAM: Infibeam Avenues Limited
INFOBEAN,INFOBEAN: InfoBeans Technologies Limited
INFY,INFY: Infosys Limited
INGERRAND,INGERRAND: Ingersoll Rand (India) Limited
INNOVACAP,INNOVACAP: Innova Captab Limited
INOXGREEN,INOXGREEN: Inox Green Energy Services Limited
INOXINDIA,INOXINDIA: INOX India Limited
INOXWIND,INOXWIND: Inox Wind Limited
INSECTICID,INSECTICID: Insecticides (India) Limited
INSPIRISYS,INSPIRISYS: Inspirisys Solutions Limited
INTELLECT,INTELLECT: Intellect Design Arena Limited
INTENTECH,INTENTECH: Intense Technologies Limited
INTLCONV,INTLCONV: International Conveyors Limited
INVENT-RE,INVENT-RE: Inventure Growth & Securities Limited-RE
INVENTURE,INVENTURE: Inventure Growth & Securities Limited
IOB,IOB: Indian Overseas Bank
IOC,IOC: Indian Oil Corporation Limited
IOLCP,IOLCP: IOL Chemicals and Pharmaceuticals Limited
IONEXCHANG,IONEXCHANG: ION Exchange (India) Limited
IPCALAB,IPCALAB: IPCA Laboratories Limited
IPL,IPL: India Pesticides Limited
IRB,IRB: IRB Infrastructure Developers Limited
IRCON,IRCON: Ircon International Limited
IRCTC,IRCTC: Indian Railway Catering And Tourism Corporation Limited
IREDA,IREDA: Indian Renewable Energy Development Agency Limited
IRFC,IRFC: Indian Railway Finance Corporation Limited
IRIS,IRIS: Iris Business Services Limited
IRISDOREME,IRISDOREME: Iris Clothings Limited
IRMENERGY,IRMENERGY: IRM Energy Limited
ISEC,ISEC: ICICI Securities Limited
ISFT,ISFT: Intrasoft Technologies Limited
ISGEC,ISGEC: Isgec Heavy Engineering Limited
ITC,ITC: ITC Limited
ITDC,ITDC: India Tourism Development Corporation Limited
ITDCEM,ITDCEM: ITD Cementation India Limited
ITI,ITI: ITI Limited
IVC,IVC: IL&FS Investment Managers Limited
IVP,IVP: IVP Limited
IWEL,IWEL: Inox Wind Energy Limited
IXIGO,IXIGO: Le Travenues Technology Limited
IZMO,IZMO: IZMO Limited
J&KBANK,J&KBANK: The Jammu & Kashmir Bank Limited
JAGRAN,JAGRAN: Jagran Prakashan Limited
JAGSNPHARM,JAGSNPHARM: Jagsonpal Pharmaceuticals Limited
JAIBALAJI,JAIBALAJI: Jai Balaji Industries Limited
JAICORPLTD,JAICORPLTD: Jai Corp Limited
JAIPURKURT,JAIPURKURT: Nandani Creation Limited
JAMNAAUTO,JAMNAAUTO: Jamna Auto Industries Limited
JASH,JASH: Jash Engineering Limited
JAYAGROGN,JAYAGROGN: Jayant Agro Organics Limited
JAYBARMARU,JAYBARMARU: Jay Bharat Maruti Limited
JAYNECOIND,JAYNECOIND: Jayaswal Neco Industries Limited
JAYSREETEA,JAYSREETEA: Jayshree Tea & Industries Limited
JBCHEPHARM,JBCHEPHARM: JB Chemicals & Pharmaceuticals Limited
JBMA,JBMA: JBM Auto Limited
JCHAC,JCHAC: Johnson Controls - Hitachi Air Conditioning India Limited
JETAIRWAYS,JETAIRWAYS: Jet Airways (India) Limited
JETFREIGHT,JETFREIGHT: Jet Freight Logistics Limited
JGCHEM,JGCHEM: J.G.Chemicals Limited
JHS,JHS: JHS Svendgaard Laboratories Limited
JINDALPHOT,JINDALPHOT: Jindal Photo Limited
JINDALPOLY,JINDALPOLY: Jindal Poly Films Limited
JINDALSAW,JINDALSAW: Jindal Saw Limited
JINDALSTEL,JINDALSTEL: Jindal Steel & Power Limited
JINDRILL,JINDRILL: Jindal Drilling And Industries Limited
JINDWORLD,JINDWORLD: Jindal Worldwide Limited
JIOFIN,JIOFIN: Jio Financial Services Limited
JISLDVREQS,JISLDVREQS: Jain Irrigation Systems Limited
JISLJALEQS,JISLJALEQS: Jain Irrigation Systems Limited
JITFINFRA,JITFINFRA: JITF Infralogistics Limited
JKCEMENT,JKCEMENT: JK Cement Limited
JKIL,JKIL: J.Kumar Infraprojects Limited
JKLAKSHMI,JKLAKSHMI: JK Lakshmi Cement Limited
JKPAPER,JKPAPER: JK Paper Limited
JKTYRE,JKTYRE: JK Tyre & Industries Limited
JLHL,JLHL: Jupiter Life Line Hospitals Limited
JMA,JMA: Jullundur Motor Agency (Delhi) Limited
JMFINANCIL,JMFINANCIL: JM Financial Limited
JNKINDIA,JNKINDIA: JNK India Limited
JOCIL,JOCIL: Jocil Limited
JPASSOCIAT,JPASSOCIAT: Jaiprakash Associates Limited
JPOLYINVST,JPOLYINVST: Jindal Poly Investment and Finance Company Limited
JPPOWER,JPPOWER: Jaiprakash Power Ventures Limited
JSFB,JSFB: Jana Small Finance Bank Limited
JSL,JSL: Jindal Stainless Limited
JSWENERGY,JSWENERGY: JSW Energy Limited
JSWHL,JSWHL: JSW Holdings Limited
JSWINFRA,JSWINFRA: JSW Infrastructure Limited
JSWSTEEL,JSWSTEEL: JSW Steel Limited
JTEKTINDIA,JTEKTINDIA: Jtekt India Limited
JTLIND,JTLIND: JTL INDUSTRIES LIMITED
JUBLFOOD,JUBLFOOD: Jubilant Foodworks Limited
JUBLINDS,JUBLINDS: Jubilant Industries Limited
JUBLINGREA,JUBLINGREA: Jubilant Ingrevia Limited
JUBLPHARMA,JUBLPHARMA: Jubilant Pharmova Limited
JUNIPER,JUNIPER: Juniper Hotels Limited
JUSTDIAL,JUSTDIAL: Just Dial Limited
JWL,JWL: Jupiter Wagons Limited
JYOTHYLAB,JYOTHYLAB: Jyothy Labs Limited
JYOTICNC,JYOTICNC: Jyoti CNC Automation Limited
JYOTISTRUC,JYOTISTRUC: Jyoti Structures Limited
KABRAEXTRU,KABRAEXTRU: Kabra Extrusion Technik Limited
KAJARIACER,KAJARIACER: Kajaria Ceramics Limited
KAKATCEM,KAKATCEM: Kakatiya Cement Sugar & Industries Limited
KALAMANDIR,KALAMANDIR: Sai Silks (Kalamandir) Limited
KALYANI,KALYANI: Kalyani Commercials Limited
KALYANIFRG,KALYANIFRG: Kalyani Forge Limited
KALYANKJIL,KALYANKJIL: Kalyan Jewellers India Limited
KAMATHOTEL,KAMATHOTEL: Kamat Hotels (I) Limited
KAMDHENU,KAMDHENU: Kamdhenu Limited
KAMOPAINTS,KAMOPAINTS: Kamdhenu Ventures Limited
KANANIIND,KANANIIND: Kanani Industries Limited
KANORICHEM,KANORICHEM: Kanoria Chemicals & Industries Limited
KANPRPLA,KANPRPLA: Kanpur Plastipack Limited
KANSAINER,KANSAINER: Kansai Nerolac Paints Limited
KAPSTON,KAPSTON: Kapston Services Limited
KARMAENG,KARMAENG: Karma Energy Limited
KARURVYSYA,KARURVYSYA: Karur Vysya Bank Limited
KAUSHALYA,KAUSHALYA: Kaushalya Infrastructure Development Corporation Limited
KAVVERITEL,KAVVERITEL: Kavveri Telecom Products Limited
KAYA,KAYA: Kaya Limited
KAYNES,KAYNES: Kaynes Technology India Limited
KBCGLOBAL,KBCGLOBAL: KBC Global Limited
KCP,KCP: KCP Limited
KCPSUGIND,KCPSUGIND: KCP Sugar and Industries Corporation Limited
KDDL,KDDL: KDDL Limited
KEC,KEC: KEC International Limited
KECL,KECL: Kirloskar Electric Company Limited
KEEPLEARN,KEEPLEARN: DSJ Keep Learning Limited
KEI,KEI: KEI Industries Limited
KELLTONTEC,KELLTONTEC: Kellton Tech Solutions Limited
KERNEX,KERNEX: Kernex Microsystems (India) Limited
KESORAMIND,KESORAMIND: Kesoram Industries Limited
KEYFINSERV,KEYFINSERV: Keynote Financial Services Limited
KFINTECH,KFINTECH: Kfin Technologies Limited
KHADIM,KHADIM: Khadim India Limited
KHAICHEM,KHAICHEM: Khaitan Chemicals & Fertilizers Limited
KHAITANLTD,KHAITANLTD: Khaitan (India) Limited
KHANDSE,KHANDSE: Khandwala Securities Limited
KICL,KICL: Kalyani Investment Company Limited
KILITCH,KILITCH: Kilitch Drugs (India) Limited
KIMS,KIMS: Krishna Institute of Medical Sciences Limited
KINGFA,KINGFA: Kingfa Science & Technology (India) Limited
KIOCL,KIOCL: KIOCL Limited
KIRIINDUS,KIRIINDUS: Kiri Industries Limited
KIRLOSBROS,KIRLOSBROS: Kirloskar Brothers Limited
KIRLOSENG,KIRLOSENG: Kirloskar Oil Engines Limited
KIRLOSIND,KIRLOSIND: Kirloskar Industries Limited
KIRLPNU,KIRLPNU: Kirloskar Pneumatic Company Limited
KITEX,KITEX: Kitex Garments Limited
KKCL,KKCL: Kewal Kiran Clothing Limited
KMSUGAR,KMSUGAR: K.M.Sugar Mills Limited
KNRCON,KNRCON: KNR Constructions Limited
KOHINOOR,KOHINOOR: Kohinoor Foods Limited
KOKUYOCMLN,KOKUYOCMLN: Kokuyo Camlin Limited
KOLTEPATIL,KOLTEPATIL: Kolte - Patil Developers Limited
KOPRAN,KOPRAN: Kopran Limited
KOTAKBANK,KOTAKBANK: Kotak Mahindra Bank Limited
KOTARISUG,KOTARISUG: Kothari Sugars And Chemicals Limited
KOTHARIPET,KOTHARIPET: Kothari Petrochemicals Limited
KOTHARIPRO,KOTHARIPRO: Kothari Products Limited
KPIGREEN,KPIGREEN: KPI Green Energy Limited
KPIL,KPIL: Kalpataru Projects International Limited
KPITTECH,KPITTECH: KPIT Technologies Limited
KPRMILL,KPRMILL: K.P.R. Mill Limited
KRBL,KRBL: KRBL Limited
KREBSBIO,KREBSBIO: Krebs Biochemicals and Industries Limited
KRIDHANINF,KRIDHANINF: Kridhan Infra Limited
KRISHANA,KRISHANA: Krishana Phoschem Limited
KRITI,KRITI: Kriti Industries (India) Limited
KRITIKA,KRITIKA: Kritika Wires Limited
KRITINUT,KRITINUT: Kriti Nutrients Limited
KRONOX,KRONOX: Kronox Lab Sciences Limited
KRSNAA,KRSNAA: Krsnaa Diagnostics Limited
KRYSTAL,KRYSTAL: Krystal Integrated Services Limited
KSB,KSB: Ksb Limited
KSCL,KSCL: Kaveri Seed Company Limited
KSHITIJPOL,KSHITIJPOL: Kshitij Polyline Limited
KSL,KSL: Kalyani Steels Limited
KSOLVES,KSOLVES: Ksolves India Limited
KTKBANK,KTKBANK: The Karnataka Bank Limited
KUANTUM,KUANTUM: Kuantum Papers Limited
LAGNAM,LAGNAM: Lagnam Spintex Limited
LAL,LAL: Lorenzini Apparels Limited
LALPATHLAB,LALPATHLAB: Dr. Lal Path Labs Ltd.
LAMBODHARA,LAMBODHARA: Lambodhara Textiles Limited
LANCORHOL,LANCORHOL: Lancor Holdings Limited
LANDMARK,LANDMARK: Landmark Cars Limited
LAOPALA,LAOPALA: La Opala RG Limited
LASA,LASA: Lasa Supergenerics Limited
LATENTVIEW,LATENTVIEW: Latent View Analytics Limited
LATTEYS,LATTEYS: Latteys Industries Limited
LAURUSLABS,LAURUSLABS: Laurus Labs Limited
LAXMICOT,LAXMICOT: Laxmi Cotspin Limited
LAXMIMACH,LAXMIMACH: Lakshmi Machine Works Limited
LCCINFOTEC,LCCINFOTEC: LCC Infotech Limited
LEMONTREE,LEMONTREE: Lemon Tree Hotels Limited
LEXUS,LEXUS: Lexus Granito (India) Limited
LFIC,LFIC: Lakshmi Finance & Industrial Corporation Limited
LGBBROSLTD,LGBBROSLTD: LG Balakrishnan & Bros Limited
